symbol,module,chembl_target_id,ligand_count,top_compound,top_compound_chembl_id,top_potency_nM,compound_priority_score_0_100,chembl_selectivity_status,lincs_connectivity_map_status,signature_reversal_input_needed,admet_toxicity_filter,bbb_rule_score_0_6,cns_like_flag,docking_status,patent_repurposing_feasibility,clinical_trial_gap,interpretation,chembl_human_target_count_any_activity,chembl_human_target_count_potent_100nM,chembl_selectivity_interpretation,clinicaltrials_public_api_status,clinicaltrials_pd_query_count
SNCA,alpha-synuclein aggregation and propagation,CHEMBL6152,100,CHEMBL3593932,CHEMBL3593932,2.1,72.4,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,no_major_rule_based_flag,5.0,True,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,active_or_recruiting_pd_trial_signal,drug-discovery triage candidate; not a treatment recommendation,3,2,moderate_polypharmacology,ok,25
GLP1R,metabolic and GLP-1 receptor signalling,CHEMBL1784,100,CHEMBL398714,CHEMBL398714,32.0,68.0,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,no_major_rule_based_flag,6.0,True,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,historical_pd_trial_signal_no_active_recruiting_hit_in_query,drug-discovery triage candidate; not a treatment recommendation,1,1,relatively_selective_by_public_activity_count,ok,2
LRRK2,LRRK2 kinase and lysosomal stress,CHEMBL1075104,100,SUNITINIB,CHEMBL535,76.0,85.0,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,black_box_warning,6.0,True,alphafold_only_hypothesis_generating,approved_drug_repurposing_possible_but_indication_patent_and_safety_review_required,active_or_recruiting_pd_trial_signal,drug-discovery triage candidate; not a treatment recommendation,546,51,broad_polypharmacology_or_tool_compound,ok,25
GBA1,GBA1 lysosome/autophagy,CHEMBL2179,100,CHEMBL3349996,CHEMBL3349996,2.4,62.0,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,not_cns_like_by_rule,3.0,False,alphafold_only_hypothesis_generating,preclinical_or_tool_compound; repurposing feasibility uncertain,active_or_recruiting_pd_trial_signal,drug-discovery triage candidate; not a treatment recommendation,1,1,relatively_selective_by_public_activity_count,ok,25
MAPK1,MAP kinase activation,CHEMBL4040,100,STAUROSPORINE,CHEMBL388978,1.0,70.0,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,not_cns_like_by_rule,4.0,False,alphafold_only_hypothesis_generating,preclinical_or_tool_compound; repurposing feasibility uncertain,no_pd_trial_found_for_target_query,drug-discovery triage candidate; not a treatment recommendation,355,229,broad_polypharmacology_or_tool_compound,ok,0
NOD2,NOD1/2 inflammatory signalling,CHEMBL1293266,100,no_compound_in_shortlist,,,,no_shortlist_compound,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,not_available,,,alphafold_only_hypothesis_generating,target_level_only; requires chemotype and patent review,no_pd_trial_found_for_target_query,drug-discovery triage candidate; not a treatment recommendation,,,,ok,0
IL17A,IL-17 inflammatory signalling,CHEMBL3390822,100,CHEMBL4872143,CHEMBL4872143,2.0,62.6,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,lipinski_violations;not_cns_like_by_rule,3.0,False,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,historical_pd_trial_signal_no_active_recruiting_hit_in_query,drug-discovery triage candidate; not a treatment recommendation,1,1,relatively_selective_by_public_activity_count,ok,3
TLR2,innate immune signalling,CHEMBL3301399,15,CHEMBL5195703,CHEMBL5195703,0.4,55.0,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,lipinski_violations;not_cns_like_by_rule,1.0,False,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,historical_pd_trial_signal_no_active_recruiting_hit_in_query,drug-discovery triage candidate; not a treatment recommendation,1,1,relatively_selective_by_public_activity_count,ok,1
NTRK1,NTRK/neurotrophin signalling,CHEMBL2815,100,SUNITINIB,CHEMBL535,220.0,81.3,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,black_box_warning,6.0,True,alphafold_only_hypothesis_generating,approved_drug_repurposing_possible_but_indication_patent_and_safety_review_required,historical_pd_trial_signal_no_active_recruiting_hit_in_query,drug-discovery triage candidate; not a treatment recommendation,546,51,broad_polypharmacology_or_tool_compound,ok,2
SLC6A3,dopaminergic synapse,CHEMBL238,100,DESIPRAMINE,CHEMBL72,0.49,100.0,executed_public_api,blocked_requires_lincs_clue_credentials_and_validated_signature,validated disease signature from recurrent brain/blood/cell-model omics,black_box_warning,6.0,True,credible_structure_and_ligands_available,approved_drug_repurposing_possible_but_indication_patent_and_safety_review_required,active_or_recruiting_pd_trial_signal,drug-discovery triage candidate; not a treatment recommendation,155,4,moderate_polypharmacology,ok,25
